atga_last_6,atgf_last_6,atsa_last_6,atsf_last_6,atsta_last_6,atstf_last_6,htga_last_6,htgf_last_6,htsa_last_6,htsf_last_6,htsta_last_6,htstf_last_6,FTR
11,4,54,60,26,23,10,10,73,81,36,31,D
2,13,44,85,19,37,7,10,55,72,28,35,D
7,13,64,88,28,49,11,5,62,57,25,28,A
7,7,42,58,21,30,10,3,66,56,34,28,D
11,10,67,75,35,30,11,7,60,32,29,14,A
9,6,69,58,36,30,15,11,88,48,35,26,D
2,11,59,76,17,39,11,4,72,62,43,28,A
8,11,70,62,33,29,9,6,81,49,36,22,D
12,3,72,61,44,29,7,11,76,70,32,31,H
16,13,78,58,31,32,7,7,46,59,25,32,A
10,3,66,53,35,27,11,13,64,77,31,33,H
6,9,52,81,25,39,5,7,64,45,34,16,A
9,5,46,61,18,29,10,7,74,54,38,27,D
10,5,51,54,26,21,7,12,65,82,30,44,A
9,16,63,105,29,47,2,9,54,69,26,26,A
6,7,69,60,28,28,11,11,48,52,22,24,D
13,9,58,38,30,16,1,11,63,73,19,39,H
11,5,71,56,35,24,2,13,41,70,21,40,H
8,16,45,78,21,39,7,9,54,69,23,35,D
11,12,47,55,22,26,7,4,46,49,22,19,H
7,13,80,70,35,32,2,13,35,81,17,42,H
7,7,64,49,35,17,11,4,80,57,36,23,H
11,3,76,63,44,31,13,2,65,47,38,24,D
1,11,56,76,15,40,6,8,72,57,30,27,H
4,10,86,65,35,30,8,16,50,79,22,40,H
5,5,52,64,28,21,6,6,73,47,35,16,A
6,5,47,56,26,27,9,6,50,69,22,37,H
10,7,81,58,44,30,5,6,48,50,22,21,D
7,9,57,73,26,40,14,6,65,39,33,15,A
7,17,58,89,24,43,9,3,73,67,32,26,A
8,9,69,70,29,33,15,12,73,60,26,35,A
2,14,40,84,18,43,11,11,56,56,27,26,A
1,14,39,86,16,44,7,14,63,80,26,37,A
6,10,61,69,25,31,2,8,56,64,18,36,H
7,13,54,77,23,36,7,5,45,49,24,22,H
13,3,65,52,37,27,5,9,58,75,25,31,D
