atga_last_6,atgf_last_6,atsa_last_6,atsf_last_6,atsta_last_6,atstf_last_6,htga_last_6,htgf_last_6,htsa_last_6,htsf_last_6,htsta_last_6,htstf_last_6,FTR
11,8,84,60,37,27,9,13,64,77,34,46,H
13,9,78,57,42,34,14,4,107,60,51,22,H
4,12,49,67,27,36,5,10,65,112,31,61,A
2,8,78,58,41,30,3,9,55,69,20,47,H
2,6,72,77,38,46,10,7,54,68,34,38,H
8,10,82,55,41,22,6,7,76,53,39,25,A
9,11,70,72,38,38,11,5,81,73,43,25,H
8,11,53,90,32,48,13,1,82,59,45,19,H
7,5,59,85,31,51,9,6,69,60,36,31,D
6,16,48,75,20,37,9,4,66,78,37,42,A
6,16,51,75,19,37,5,7,73,53,42,27,D
7,11,63,110,30,59,7,7,66,65,34,31,H
8,6,53,63,35,37,7,5,62,83,33,44,A
6,4,63,84,34,46,8,10,57,78,34,42,H
5,14,52,71,20,38,5,10,52,65,30,34,H
9,2,83,57,44,19,7,12,64,76,33,45,D
2,10,53,68,17,47,13,5,104,70,56,25,A
10,7,69,60,32,30,5,7,72,47,43,24,D
3,6,74,70,42,43,11,8,60,74,30,34,D
10,6,88,66,45,28,11,7,83,63,38,30,A
9,8,88,58,45,22,13,8,77,64,37,38,A
6,6,53,60,34,35,4,11,68,62,31,34,A
7,4,66,62,37,29,7,9,50,52,35,32,H
11,6,74,65,37,34,3,6,72,75,42,42,H
7,10,61,57,32,33,2,10,44,72,17,52,A
13,8,77,73,39,41,8,2,78,59,43,23,H
8,13,55,81,32,50,5,13,58,66,25,36,H
9,6,69,74,33,36,8,7,59,56,29,28,D
14,5,108,58,58,21,8,11,64,101,32,56,H
5,6,55,44,34,24,8,6,66,83,39,50,A
6,10,53,64,30,37,7,7,90,58,47,23,D
8,5,54,81,32,48,11,8,88,64,50,28,D
3,10,58,61,28,34,6,6,67,71,28,33,A
6,9,48,65,27,38,15,3,101,57,51,22,A
10,4,65,62,43,31,4,11,44,79,19,52,H
11,6,76,60,46,29,5,3,58,70,36,42,H
7,4,62,62,27,26,5,10,50,58,32,38,D
7,12,52,79,31,49,3,7,68,85,36,52,A
9,6,66,86,41,48,8,8,95,58,55,30,A
11,4,84,64,47,33,14,10,79,75,39,42,H
9,11,60,103,32,54,6,11,63,61,32,34,A
8,8,88,57,44,26,3,5,63,36,35,18,A
5,4,64,43,38,28,11,6,75,59,47,28,D
15,4,95,52,49,25,12,3,63,63,40,32,H
6,10,66,58,32,31,7,10,88,62,48,32,H
5,6,108,59,64,33,6,12,49,66,30,40,H
3,5,54,77,30,47,4,4,67,65,31,28,A
5,5,71,78,42,47,9,5,69,98,41,55,D
6,11,53,66,32,44,3,6,62,64,28,33,H
4,12,45,75,19,47,9,10,62,92,33,46,A
14,8,75,60,39,34,6,10,52,75,32,49,A
5,4,80,74,33,30,10,3,67,66,36,30,H
10,3,66,72,32,32,5,14,49,72,22,44,H
7,8,45,82,26,47,8,9,57,65,33,43,H
10,9,59,83,34,42,3,6,57,76,29,46,D
3,10,59,69,30,36,4,2,76,74,47,42,A
6,12,84,66,49,36,12,10,70,57,35,34,D
7,7,65,62,41,28,6,5,89,73,41,27,H
7,14,45,69,25,42,6,3,65,40,37,25,A
9,5,63,108,39,60,19,5,102,46,52,24,A
5,2,67,62,31,26,4,6,105,51,57,29,H
11,8,57,68,35,32,9,9,72,62,39,36,H
4,2,72,77,42,39,6,3,67,68,31,31,H
5,8,97,57,53,32,10,4,73,79,38,38,H
6,3,91,76,43,33,8,6,68,96,45,51,H
17,5,92,53,48,32,5,10,80,59,47,35,A
9,10,66,60,30,37,11,8,58,70,34,33,A
8,11,55,68,30,44,8,6,66,62,42,28,D
3,5,55,72,24,40,10,8,58,66,34,38,A
6,3,64,42,35,24,7,7,53,74,32,34,H
9,9,76,54,41,32,5,14,47,67,22,41,D
5,12,52,75,24,43,2,9,57,67,27,34,H
8,4,67,80,36,41,9,4,61,43,34,26,A
7,7,61,94,40,52,9,9,84,52,49,29,H
2,10,56,66,28,30,16,4,88,50,45,33,D
4,12,41,77,16,47,7,12,62,59,29,36,D
5,3,59,76,29,35,6,9,59,70,26,38,H
11,7,54,66,31,32,1,5,69,59,32,34,D
6,9,48,71,28,34,9,11,54,71,27,45,D
9,6,64,64,41,28,6,5,103,53,61,28,H
10,8,52,81,30,47,5,3,91,71,42,32,D
5,8,76,61,45,35,4,2,80,77,45,38,H
7,8,97,58,54,34,8,9,57,73,26,44,H
5,3,87,67,42,28,11,6,46,62,27,28,A
8,9,79,71,53,44,0,5,71,53,31,30,D
8,2,49,80,24,41,6,12,66,64,27,36,H
6,5,87,76,53,45,6,10,51,65,28,30,A
13,4,70,45,40,25,6,12,63,41,30,22,A
3,6,55,92,30,49,1,10,51,78,23,37,A
7,8,63,76,33,42,4,11,38,72,14,43,H
14,8,67,66,47,30,9,3,67,84,34,37,H
7,9,83,58,47,28,16,5,89,55,45,35,H
11,6,67,79,37,39,6,8,52,75,25,40,A
3,11,37,72,11,44,3,8,57,80,32,44,D
8,10,52,82,26,47,7,8,80,75,53,43,D
4,9,60,42,26,22,6,5,83,68,46,30,H
3,10,46,80,19,38,9,8,80,56,49,28,A
10,7,45,65,23,34,7,5,99,62,60,34,H
4,14,66,57,29,34,11,8,100,50,55,30,A
15,7,79,62,43,41,10,3,52,83,27,44,D
14,6,71,62,50,27,3,8,47,68,19,39,H
11,2,50,89,26,46,13,5,62,47,38,26,H
0,5,69,49,26,26,6,8,63,77,29,43,D
3,10,41,74,17,40,6,6,77,80,45,44,H
5,8,97,66,58,36,8,7,81,53,52,24,H
10,7,57,83,29,40,12,7,85,59,45,40,D
7,9,59,71,30,39,7,9,65,44,32,23,D
4,8,56,74,30,42,7,8,52,63,27,31,H
7,8,72,71,43,34,5,13,71,59,34,37,H
12,9,87,54,47,32,10,7,47,67,26,38,H
6,6,84,59,43,38,15,6,72,58,49,26,H
7,7,81,76,46,41,12,8,88,54,52,33,A
7,8,60,72,30,41,3,10,50,79,27,42,A
6,14,71,72,36,44,2,5,73,40,34,18,A
9,3,46,63,24,40,7,7,45,74,18,40,H
12,6,58,38,34,16,8,9,73,73,42,38,H
8,7,63,44,34,25,7,9,61,63,33,33,D
5,8,75,56,47,24,8,7,55,84,29,40,H
7,9,49,66,23,33,10,3,49,84,26,47,D
2,9,47,74,18,46,7,8,93,64,54,33,A
10,3,53,58,28,37,6,9,54,83,27,42,H
5,8,61,70,33,38,15,8,77,58,51,26,D
12,5,63,39,36,16,12,6,85,62,54,37,H
9,8,71,38,38,24,7,8,102,57,59,33,D
8,6,75,57,49,23,3,3,71,43,36,17,H
7,7,85,55,42,32,4,7,56,77,29,43,H
2,7,46,82,20,49,8,8,70,66,40,29,D
7,10,59,67,27,38,7,9,39,81,18,44,A
5,13,69,68,32,42,9,9,55,68,29,36,A
6,7,86,79,48,45,9,5,43,95,25,54,D
9,6,50,89,29,50,10,4,64,57,38,34,H
4,5,72,45,39,19,3,8,47,69,23,40,H
6,8,89,64,55,44,13,6,65,41,37,18,H
11,8,59,70,33,35,7,9,62,61,35,31,A
15,10,63,60,41,27,6,8,92,75,52,43,H
7,9,66,67,39,30,10,7,63,59,40,26,H
12,10,76,64,45,41,8,6,85,52,42,31,A
7,10,58,79,28,43,7,11,60,63,26,38,H
3,7,55,83,30,45,5,15,72,74,33,46,D
8,8,38,78,16,42,9,6,73,40,45,29,A
12,8,74,62,41,40,12,11,57,76,33,40,H
3,8,81,65,42,33,9,10,65,69,42,33,A
11,8,72,58,43,27,13,8,52,89,35,49,D
12,5,76,42,46,31,8,5,68,48,38,23,D
8,5,81,51,40,28,6,6,80,55,47,36,H
6,9,61,65,24,35,10,6,67,67,38,39,H
5,11,69,74,33,45,16,9,66,57,41,27,H
3,11,48,81,26,48,4,10,58,77,24,42,A
11,7,64,45,36,20,7,11,36,70,15,38,D
10,7,64,63,40,33,2,6,60,77,34,42,H
7,9,55,68,21,36,11,8,69,52,37,25,D
9,7,72,53,39,26,11,7,78,58,43,33,D
6,6,73,65,43,38,5,8,68,79,30,44,H
9,8,60,77,36,36,6,9,56,64,23,36,D
4,7,63,78,28,39,13,8,80,48,49,34,A
3,5,69,68,36,40,7,7,69,41,38,19,D
7,8,58,70,31,38,10,6,60,66,38,32,H
11,10,56,85,31,44,3,9,86,62,43,34,A
11,8,76,56,44,27,8,3,89,48,39,23,A
11,8,48,87,31,47,3,12,55,83,30,50,H
5,10,34,77,14,42,11,9,71,59,43,29,A
8,7,74,64,40,36,7,8,62,60,34,34,H
3,13,45,85,25,55,6,7,74,56,39,29,A
10,8,53,75,33,40,9,5,74,70,43,42,D
15,6,79,55,51,39,4,6,66,61,31,37,H
6,9,71,79,33,44,7,5,75,68,41,32,A
5,6,55,72,25,37,11,11,61,80,34,41,D
10,2,85,50,34,23,4,10,64,77,32,42,H
12,11,73,60,45,31,11,11,74,59,45,27,A
5,10,89,58,48,31,7,12,40,83,19,42,H
8,6,65,47,35,20,12,8,53,77,36,44,D
7,5,71,75,44,46,4,13,52,80,29,52,H
8,5,75,57,42,30,12,2,87,51,37,24,H
10,12,59,85,32,45,17,6,82,56,54,37,D
10,7,55,89,35,51,5,6,51,72,23,34,H
3,11,37,84,15,40,12,8,84,70,50,37,A
10,9,67,69,37,31,7,10,73,79,35,42,A
4,12,65,79,33,45,10,6,58,72,37,41,A
8,12,68,70,35,44,4,6,90,55,46,27,A
4,8,67,64,29,40,10,10,83,53,49,23,D
8,6,75,70,39,34,7,4,77,49,42,19,H
10,6,56,79,33,46,9,11,67,79,41,46,A
11,10,82,59,45,27,8,7,84,63,47,33,H
4,14,56,74,32,49,3,10,41,79,17,36,A
10,5,87,62,38,28,10,11,74,92,41,49,D
11,12,80,70,44,37,4,9,73,63,33,36,H
11,5,85,59,48,31,8,5,65,79,41,49,D
9,7,56,76,32,44,10,4,86,58,45,30,H
6,7,66,59,39,28,5,11,69,77,36,40,D
16,5,76,64,55,46,9,16,76,64,41,45,D
4,11,46,80,23,38,10,8,63,78,40,49,A
9,6,85,63,46,36,20,9,72,69,50,45,D
10,10,66,105,39,49,9,7,58,76,37,45,D
6,11,71,70,41,35,13,7,85,63,48,33,H
11,8,68,74,39,40,12,10,83,68,47,34,D
9,9,84,65,49,36,4,15,58,74,32,51,H
6,7,48,80,24,40,10,6,98,60,39,26,D
5,10,72,66,32,39,11,8,79,74,46,39,D
12,11,87,68,49,36,4,8,66,63,40,34,H
10,11,73,80,47,52,4,9,65,61,40,33,H
12,16,81,63,45,47,11,11,76,71,41,38,H
11,8,105,65,44,31,9,6,60,69,39,38,H
10,8,66,81,35,43,11,8,83,67,46,35,H
8,9,72,68,35,37,11,8,98,61,56,35,H
4,8,54,78,24,36,9,7,75,74,50,44,A
4,13,59,75,31,49,9,8,77,76,43,38,A
16,9,67,73,47,48,4,11,59,69,33,38,A
11,11,66,106,39,49,7,6,61,77,36,47,H
8,8,52,90,28,49,10,8,73,75,40,40,H
6,11,78,64,33,38,13,15,84,58,50,41,H
7,11,74,74,44,41,9,5,80,58,46,33,A
9,4,64,75,35,38,8,7,52,98,28,57,H
11,8,96,68,58,38,6,8,76,60,31,33,H
12,14,80,62,50,42,14,12,72,108,44,52,H
12,4,81,58,43,28,7,9,47,104,26,60,H
4,10,59,60,33,37,9,6,78,68,38,40,H
6,7,59,75,36,42,4,10,72,74,34,35,H
10,7,81,80,41,40,5,15,70,77,36,43,A
11,6,79,81,55,49,4,13,57,76,31,45,H
10,9,81,63,45,34,13,7,60,63,44,42,D
9,8,80,64,46,37,11,4,71,71,42,39,H
7,9,72,84,42,51,11,7,106,63,48,31,H
9,9,112,59,56,30,9,13,51,71,30,47,H
11,5,76,70,46,37,7,7,74,83,39,40,A
7,10,73,73,34,40,12,8,97,60,58,33,A
13,4,76,58,37,30,3,9,64,70,28,34,H
11,11,90,66,48,42,11,10,70,64,40,33,D
7,6,68,64,40,33,7,9,65,96,36,57,D
13,13,75,66,46,41,7,6,84,60,47,34,H
7,10,49,95,28,55,9,8,53,60,37,37,D
6,10,67,71,28,41,12,5,76,75,56,41,H
12,12,63,107,36,51,4,13,56,76,25,44,D
10,14,57,73,34,43,7,6,69,58,38,27,D
10,4,80,83,57,47,10,9,81,64,42,39,H
8,8,61,66,36,32,6,7,80,71,37,39,H
5,13,68,69,32,38,11,9,77,66,48,37,A
7,7,88,67,48,39,15,5,81,55,40,29,A
7,9,63,87,36,49,8,10,77,77,39,44,D
9,7,67,91,36,47,5,8,50,103,31,61,H
6,7,57,66,40,43,11,10,114,63,56,33,H
4,10,53,115,30,65,4,11,57,83,28,47,H
10,5,69,66,41,34,9,10,58,74,33,35,H
5,5,65,51,36,26,8,8,63,65,41,37,A
15,5,74,52,42,27,6,9,57,88,32,50,D
8,10,78,66,41,41,5,12,69,69,34,41,D
8,4,75,62,42,32,13,9,100,66,63,42,D
8,9,71,73,37,44,11,3,75,87,48,46,D
12,9,117,58,60,35,12,6,77,83,40,42,A
10,9,68,101,38,50,8,12,52,66,31,35,A
6,13,59,84,27,48,7,10,76,69,36,40,D
3,11,69,78,32,46,8,9,74,69,35,39,H
11,5,74,74,36,37,3,6,63,51,33,25,A
10,8,98,57,61,31,6,10,53,105,31,57,A
6,11,85,70,45,43,5,9,88,67,45,40,H
9,10,54,68,31,38,7,5,74,61,41,35,H
8,9,56,85,30,45,9,2,68,68,44,32,D
10,4,65,87,38,42,17,6,79,55,45,26,A
7,10,61,75,35,39,12,10,102,59,60,35,D
6,4,62,61,36,37,8,9,67,88,38,43,H
11,9,88,61,51,36,5,11,58,86,28,46,H
7,4,72,63,45,36,13,8,74,69,37,37,H
9,3,67,73,46,40,9,6,63,90,35,44,H
12,9,56,64,35,34,8,6,105,52,65,27,D
8,9,63,68,34,36,6,12,60,75,31,44,D
6,8,61,54,33,29,5,10,52,112,31,61,D
6,9,98,77,57,46,8,10,62,80,36,49,A
7,9,72,80,40,48,7,7,75,55,41,33,H
6,11,94,82,51,52,19,7,82,57,43,26,H
6,8,79,62,37,36,8,12,65,62,30,34,D
7,6,91,58,58,29,7,8,74,86,41,53,H
7,8,55,85,27,43,6,11,97,76,57,45,A
8,8,61,57,33,28,7,11,92,83,52,53,A
5,7,59,110,34,58,3,9,62,79,30,50,A
10,7,54,78,32,45,8,3,78,67,45,38,D
9,5,86,49,55,22,6,6,70,46,37,26,H
11,9,68,71,36,36,8,8,74,60,37,34,A
15,9,83,60,46,33,12,10,64,65,38,34,D
6,8,81,59,47,34,14,9,84,59,49,32,A
6,10,45,79,24,42,5,7,71,62,30,38,H
4,14,59,80,27,43,11,2,76,66,52,36,D
4,7,65,49,32,31,4,10,75,62,40,35,D
5,9,77,77,32,46,9,7,62,68,34,36,H
8,10,90,78,53,45,7,9,61,83,35,40,H
8,7,74,69,40,40,16,11,85,63,51,34,H
4,6,63,79,31,48,11,8,74,65,38,36,H
9,9,62,61,36,31,6,14,62,75,29,45,D
8,3,82,69,47,39,8,4,79,51,51,23,D
10,4,74,71,53,40,7,10,76,59,47,30,H
15,8,70,69,40,35,6,9,53,88,22,49,H
6,7,86,101,49,65,5,7,62,107,32,58,H
5,12,57,71,30,38,5,10,73,60,39,34,D
6,9,75,51,43,25,11,10,86,70,52,40,D
5,9,61,103,29,54,8,5,58,47,30,27,A
7,12,44,89,19,51,9,7,84,65,46,39,A
8,5,70,48,45,21,15,8,74,64,47,32,D
5,9,79,63,39,36,10,5,71,66,42,35,H
5,8,57,80,34,37,4,5,58,75,29,45,D
9,8,64,63,38,35,7,6,87,103,50,66,H
9,8,75,63,39,35,10,4,67,66,48,36,H
5,12,55,74,28,37,5,8,67,55,35,36,A
12,11,80,74,47,41,5,6,78,69,33,42,D
5,7,73,73,28,43,12,10,85,70,50,39,D
8,6,70,65,39,35,3,9,55,69,28,35,H
4,4,58,77,28,46,6,9,86,59,49,29,A
11,5,67,44,33,28,6,8,67,68,41,35,D
6,8,68,61,39,36,6,14,50,86,22,46,A
14,9,99,72,59,41,10,7,73,51,44,24,H
16,8,72,62,44,29,6,8,57,81,34,37,H
6,6,75,83,34,47,5,8,55,94,29,51,D
7,6,82,68,41,42,10,8,70,70,42,37,H
8,6,88,105,48,67,7,9,83,67,45,35,H
9,5,71,70,43,42,9,11,86,81,45,45,A
13,5,98,51,59,27,6,7,71,77,35,40,D
6,4,47,53,22,26,8,11,72,70,38,40,D
10,6,66,58,30,30,11,7,73,69,39,36,H
7,21,43,90,27,62,6,8,40,66,23,34,A
1,6,50,85,20,43,10,11,55,88,31,50,A
9,5,74,51,36,27,10,11,75,75,41,42,H
6,7,48,92,23,47,2,4,70,68,28,34,A
11,5,69,51,39,18,10,7,75,50,43,32,H
6,7,48,65,30,36,9,6,63,67,31,33,D
8,8,69,65,35,41,11,5,93,54,42,28,H
9,9,80,78,43,42,11,4,111,48,65,18,D
6,7,66,47,39,30,6,18,45,84,29,57,H
7,6,78,73,41,40,11,4,71,51,40,21,D
2,3,60,65,24,32,2,8,81,63,44,35,A
9,12,67,95,36,48,6,4,49,43,26,17,D
5,10,56,80,34,44,1,6,47,94,21,50,H
9,9,61,81,39,46,5,8,51,87,23,48,D
10,7,76,76,39,40,13,5,94,50,54,27,H
11,5,107,58,63,25,11,6,100,53,45,30,D
1,6,43,100,21,52,4,6,49,79,31,43,H
7,3,74,70,36,37,2,5,74,59,37,32,H
5,9,55,69,32,39,12,5,86,61,45,33,A
5,7,67,85,38,50,10,4,73,54,42,22,A
5,7,57,92,30,51,7,6,48,44,26,20,D
8,7,77,79,43,45,3,17,40,83,24,55,H
10,6,88,55,52,28,8,9,59,71,30,44,H
10,14,62,88,34,45,9,5,71,33,42,16,D
2,3,57,58,22,26,10,10,81,77,41,39,H
7,8,56,83,26,46,2,2,64,62,26,27,A
14,7,86,60,43,34,8,8,88,75,53,43,H
11,4,74,63,43,27,2,4,40,93,18,45,H
10,5,100,58,44,30,9,6,93,55,49,26,H
10,3,77,37,46,17,6,11,53,64,31,32,H
1,4,70,57,33,27,9,3,93,57,50,25,A
7,5,56,52,32,24,6,2,79,68,36,35,D
3,7,52,79,32,43,9,13,60,80,35,38,H
4,17,42,86,26,61,4,6,63,80,32,43,H
8,10,79,78,34,39,5,9,73,91,41,55,D
4,1,71,68,31,34,5,13,48,80,26,52,D
7,8,80,60,40,28,6,5,56,50,30,24,A
5,13,46,74,24,37,14,3,67,62,41,27,D
5,8,70,93,40,51,8,3,78,34,43,15,A
6,6,83,70,44,35,3,7,78,63,37,34,D
4,2,60,64,28,29,12,4,76,49,35,25,H
4,8,68,77,36,42,6,7,87,60,35,27,H
1,6,41,94,20,51,11,4,95,57,38,28,A
8,15,55,84,28,39,8,9,57,79,29,42,H
8,4,88,74,44,30,7,6,62,74,40,39,D
10,4,77,34,43,18,6,2,61,54,30,23,A
12,5,98,60,38,32,6,3,77,63,36,31,D
13,5,73,65,46,33,9,5,92,77,48,33,D
5,6,101,55,41,27,7,7,85,68,42,35,H
7,12,46,82,23,54,4,8,80,58,44,26,D
4,7,74,77,38,37,2,10,42,95,24,50,H
5,4,46,61,25,32,7,12,45,71,26,37,A
9,6,69,48,29,22,10,13,67,82,38,39,A
7,7,66,80,40,46,4,6,67,85,36,44,D
7,9,50,84,26,46,5,8,73,90,44,52,D
7,6,98,56,47,27,6,4,78,63,38,31,H
14,5,79,67,49,39,6,5,78,69,49,37,D
6,11,41,90,19,61,9,4,44,67,25,31,A
3,8,85,58,47,26,6,11,37,82,18,42,H
10,6,89,75,48,35,11,6,89,35,49,20,H
7,10,78,60,41,35,6,8,53,83,25,45,A
5,6,70,69,30,29,4,4,61,60,32,28,A
2,11,39,87,22,45,9,9,87,50,44,26,A
3,4,64,86,34,45,13,12,67,99,39,56,A
5,9,69,88,39,46,13,6,100,62,41,32,A
6,6,80,59,38,31,11,6,85,81,47,38,H
6,6,77,66,42,37,8,7,100,58,50,27,A
8,11,39,80,21,35,5,11,68,91,33,49,H
11,9,85,45,46,28,4,6,66,92,36,48,H
13,9,88,46,50,22,5,6,74,69,28,35,H
15,10,72,81,43,53,5,9,93,49,47,22,A
7,8,57,82,28,40,3,14,38,86,20,44,D
12,6,80,71,38,35,10,15,40,88,19,58,D
4,3,54,69,28,30,14,6,81,66,53,34,D
13,8,48,66,27,33,7,11,80,60,40,35,H
7,7,102,36,51,17,8,7,68,57,35,27,D
5,10,78,54,39,31,7,9,70,63,38,39,H
15,7,74,68,49,37,12,9,81,44,47,21,A
3,7,58,90,29,49,12,5,75,62,35,30,A
9,6,101,54,54,29,7,9,61,76,32,38,A
10,6,86,73,49,37,5,4,63,67,35,29,D
5,15,43,90,22,50,9,9,90,46,48,30,A
4,7,72,72,30,38,13,10,69,92,42,59,D
4,12,63,92,33,46,14,7,47,69,28,37,H
11,12,40,84,21,53,9,11,40,92,22,42,H
15,5,81,56,39,30,9,6,104,51,57,27,H
10,7,88,51,48,24,11,7,93,68,57,35,A
9,9,65,64,38,31,3,10,47,96,25,51,H
8,8,62,74,34,41,5,7,83,65,35,36,H
8,9,38,93,21,46,4,9,71,56,30,32,D
13,9,44,67,25,39,11,9,70,73,45,36,A
13,10,65,96,39,60,4,19,47,97,25,59,H
6,5,58,69,31,33,12,10,46,69,26,40,H
12,8,91,43,52,28,8,9,96,40,52,23,A
7,10,68,70,38,44,6,8,65,84,37,39,H
10,9,79,51,48,34,15,7,84,55,45,28,A
8,9,63,78,40,39,9,6,96,34,53,22,D
9,8,38,88,22,46,5,7,71,64,31,30,H
11,9,50,69,28,42,6,9,63,68,34,44,A
10,8,88,62,50,36,14,6,68,89,42,54,D
10,8,66,78,32,43,9,5,95,56,57,29,H
7,10,71,69,42,35,12,9,91,62,50,30,D
9,5,59,63,34,32,5,8,76,48,36,29,A
4,19,49,94,26,55,10,13,37,64,22,38,D
3,11,39,119,19,60,8,8,87,59,47,32,D
11,7,83,57,43,32,8,6,36,91,17,42,D
12,6,73,50,38,23,9,7,64,56,36,26,H
4,7,78,50,31,24,6,7,58,86,32,40,D
6,8,58,57,31,36,12,8,70,65,32,35,A
10,7,80,55,49,28,5,17,47,85,22,51,H
9,5,96,38,50,22,2,12,35,113,15,57,H
6,8,65,48,33,27,8,10,79,73,40,35,H
12,9,92,71,48,31,9,10,50,69,27,43,H
10,13,40,60,23,34,9,8,85,57,41,34,A
13,6,57,99,34,52,8,7,37,86,20,41,H
9,7,96,58,52,31,8,9,75,51,45,29,H
7,8,62,56,38,31,15,8,100,67,55,29,D
7,13,54,68,28,44,13,6,77,44,48,23,A
12,7,62,72,29,37,4,17,36,117,17,61,H
6,9,57,60,27,37,3,7,79,52,37,25,H
7,7,40,83,19,41,14,4,69,51,37,27,A
9,5,67,52,39,24,5,20,45,85,21,56,H
12,6,61,80,32,35,5,6,51,84,29,40,D
7,12,86,68,42,38,9,10,58,57,37,30,H
10,4,78,53,37,28,9,13,48,54,27,26,H
8,7,87,55,41,33,13,6,96,39,51,24,A
3,16,31,119,11,61,9,3,66,51,39,26,A
6,7,48,94,25,49,12,6,66,65,31,31,A
4,8,74,52,39,23,7,4,66,55,38,25,H
8,12,58,53,35,36,8,3,73,48,34,27,A
14,6,102,68,54,28,5,12,28,82,14,39,H
17,3,74,37,38,22,7,9,55,62,31,36,D
11,6,77,49,46,27,8,10,81,66,46,37,H
4,17,47,83,26,52,5,7,87,57,38,32,A
11,4,89,53,52,30,2,11,57,74,30,46,D
5,10,40,55,21,28,11,7,70,72,36,31,A
7,12,53,51,32,36,12,5,76,64,37,27,H
3,15,34,114,15,57,8,10,74,69,38,42,A
6,7,80,44,43,19,2,12,59,80,32,54,H
12,4,80,50,50,21,7,6,80,53,37,30,D
13,5,112,57,57,23,7,7,46,55,24,27,H
2,17,41,78,23,50,4,11,28,90,14,43,A
10,5,89,57,57,32,10,5,66,52,32,30,H
4,10,45,57,24,30,5,6,51,62,30,31,A
17,3,74,33,38,20,11,4,56,68,25,31,D
3,5,53,86,25,44,10,2,70,50,40,27,H
4,7,43,61,23,31,4,3,52,78,22,44,H
8,3,68,54,38,27,11,4,86,53,55,27,H
4,10,33,92,19,43,12,4,78,49,46,23,A
12,6,79,53,42,22,15,4,81,41,44,25,D
8,7,45,59,22,29,3,12,41,62,21,33,D
11,5,59,74,28,36,8,12,54,45,33,34,A
8,10,73,67,36,41,2,14,47,70,26,45,H
6,4,76,53,38,26,10,8,75,43,46,19,H
4,15,57,80,32,57,3,14,37,109,15,55,D
9,8,56,52,31,30,13,4,116,48,57,16,D
13,5,74,46,43,23,9,2,70,63,40,31,H
4,10,44,68,24,38,9,5,61,75,33,36,H
7,13,58,57,35,41,5,6,54,59,31,30,H
3,11,40,98,20,57,4,12,34,87,21,44,A
10,6,87,62,54,33,6,6,47,55,24,27,H
13,7,94,52,50,21,8,6,73,56,38,24,H
3,4,51,82,20,48,7,4,78,56,43,29,A
2,12,40,70,22,46,4,14,68,77,41,54,A
12,2,79,39,41,26,12,10,54,49,32,28,H
9,7,74,48,46,23,8,7,78,58,40,35,D
6,9,49,63,24,33,12,2,79,39,43,28,H
4,11,32,88,19,42,13,6,101,45,60,22,H
7,6,75,61,40,40,14,2,92,44,50,20,D
7,4,68,76,36,38,2,11,46,89,22,53,H
6,13,72,84,43,56,13,7,87,61,55,34,H
7,3,80,60,42,26,0,12,42,72,21,46,H
11,10,47,50,32,29,9,12,59,58,38,42,A
6,8,57,61,33,34,10,7,76,55,53,26,A
8,7,76,63,41,39,3,8,43,69,22,40,H
6,4,63,80,36,36,3,5,54,80,20,46,A
11,7,78,74,43,47,9,3,81,58,46,26,H
1,9,52,88,25,50,3,8,36,69,18,43,A
8,8,73,78,46,50,5,5,66,72,38,33,H
5,8,36,84,23,39,5,7,63,57,36,32,A
8,8,80,65,47,38,8,4,83,41,43,25,D
6,6,74,60,44,37,8,8,48,68,24,36,D
7,5,77,72,39,38,10,11,47,50,32,28,D
0,11,50,74,26,47,4,5,55,76,21,41,A
8,7,94,49,50,25,11,9,54,59,32,42,H
14,6,102,60,57,29,11,7,67,62,47,31,H
7,8,70,46,39,30,5,5,58,58,34,35,D
5,6,71,51,39,31,13,6,104,58,52,27,H
3,3,56,66,21,32,11,8,81,74,38,43,H
10,4,72,61,38,25,11,7,75,73,47,46,H
9,12,48,60,26,30,6,5,38,87,25,38,H
4,8,63,79,36,41,9,10,81,51,48,32,A
7,8,44,69,26,45,7,6,75,75,35,33,A
12,9,51,60,29,36,3,11,55,84,34,52,H
10,6,68,71,47,29,10,8,91,43,49,24,D
7,8,42,63,19,31,0,11,52,66,21,43,D
7,7,41,78,25,34,12,6,58,61,33,32,H
13,9,102,61,49,32,4,2,56,65,23,30,H
11,7,77,70,39,39,3,9,73,75,38,42,D
0,9,53,65,21,42,10,8,77,74,48,30,A
9,7,75,72,34,28,11,5,78,63,39,26,A
3,12,54,86,29,56,6,7,53,57,27,29,A
9,9,73,57,40,32,8,10,40,71,22,45,H
11,10,80,61,42,31,7,7,73,66,42,39,D
8,12,39,80,21,52,9,9,74,66,38,37,D
12,5,78,58,38,23,3,12,57,83,30,52,H
9,11,52,56,28,25,11,9,70,74,43,42,H
6,6,88,72,47,29,10,8,75,67,33,29,A
10,7,56,56,31,27,11,9,78,56,46,32,H
8,7,86,42,46,24,9,7,77,69,40,39,D
2,8,67,63,33,35,5,6,53,70,30,40,H
7,5,57,51,29,24,15,8,106,64,56,33,A
12,5,74,57,37,21,8,12,44,84,20,55,H
9,9,68,88,32,56,11,9,76,64,33,29,H
4,14,58,73,29,42,11,9,75,50,45,25,D
7,8,99,40,59,22,10,8,63,52,33,24,D
8,7,38,70,21,29,5,6,47,76,24,45,H
0,9,43,82,16,46,16,9,112,62,60,33,A
9,6,72,78,45,38,7,7,79,68,43,35,H
