Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HHW,AHW,HC,AC,HF,AF,HO,AO,HY,AY,HR,AR,HBP,ABP,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SBH,SBD,SBA,WHH,WHD,WHA
E0,23/08/00,Everton,Charlton,3,0,H,0,0,D,Andy Hall,13,8,8,4,0,0,3,5,17,15,1,4,2,1,0,1,20,35,1.71,3.4,4,1.6,3.2,4.2,1.8,3.25,3.75,2,3.1,3.2,1.9,3,3.7
E0,23/08/00,Man City,Sunderland,4,2,H,2,0,H,David Ellaray,15,9,10,4,0,0,7,3,24,14,5,4,3,3,0,0,30,30,2.4,3.1,2.6,2.4,2.9,2.4,2.5,3.25,2.4,2.5,3.2,2.5,2.5,3.1,2.5
E0,23/08/00,Newcastle,Derby,3,2,H,1,1,D,Dermot Gallagher,9,10,4,5,0,0,9,6,23,11,2,3,0,3,1,0,25,30,1.6,3.3,4.5,1.55,3.3,4.5,1.55,3.5,5,1.53,3.4,6,1.53,3.4,5.5
E0,23/08/00,Southampton,Coventry,1,2,A,0,1,A,F Taylor,12,7,4,5,0,0,6,5,18,20,0,6,5,3,0,0,50,30,1.9,2.9,3.2,1.9,2.9,3.2,1.8,3.25,3.75,1.75,3.25,4.33,1.7,3.25,4.33
E0,23/08/00,West Ham,Leicester,0,1,A,0,0,D,Rob Styles,17,4,12,2,1,0,11,5,16,14,3,1,3,3,1,0,55,30,1.8,3.35,3.8,1.65,3.2,3.8,1.8,3.25,3.75,1.75,3.4,4,1.72,3.4,4
E0,26/08/00,Arsenal,Charlton,5,3,H,1,2,A,Steve Lodge,18,7,9,4,0,0,8,3,12,15,3,2,0,1,0,0,0,10,1.3,4.3,8.2,1.35,3.8,6.2,1.35,3.75,8,1.3,4.33,8.5,1.33,3.75,9
E0,26/08/00,Bradford,Leicester,0,0,D,0,0,D,Steve Bennett,8,13,4,8,0,0,6,8,11,12,4,4,1,2,0,0,10,20,2.15,3.3,2.8,2.35,3,2.35,2.4,3.25,2.5,2.3,3.1,2.8,2.5,3.1,2.5
E0,26/08/00,Everton,Derby,2,2,D,2,0,H,Mike Riley,12,7,9,4,0,0,11,2,11,9,2,2,2,3,0,0,20,30,1.66,3.5,4.1,1.8,3,3.5,1.8,3.25,3.75,1.67,3.25,4.75,1.57,3.5,5
E0,26/08/00,Ipswich,Sunderland,1,0,H,0,0,D,Graham Poll,14,9,5,3,1,0,7,6,10,12,3,10,1,1,0,0,10,10,2.3,3.2,2.65,2.35,3,2.35,2.75,3.25,2.2,2.5,3.2,2.5,2.5,3.1,2.5
E0,26/08/00,Man City,Coventry,1,2,A,0,2,A,Andy D'Urso,14,9,5,8,1,0,5,5,7,12,3,10,2,3,0,0,20,30,1.95,3.5,3.1,1.9,3,3.1,2.2,3.25,2.75,2,3.25,3.5,2.1,3.2,3
E0,26/08/00,Middlesbrough,Leeds,1,2,A,0,2,A,Graham Barber,15,16,8,11,0,0,4,8,12,20,4,5,2,0,0,0,20,0,2.3,3.2,2.65,2.3,3,2.4,2.6,3.4,2.25,2.5,3.2,2.5,2.5,3.1,2.5
E0,26/08/00,Newcastle,Tottenham,2,0,H,1,0,H,David Ellaray,15,10,6,2,1,1,4,2,13,10,6,4,0,0,0,0,0,0,1.95,3.4,3.25,2,3,2.9,1.9,3.25,3.4,2,3.25,3.25,1.9,3.25,3.4
E0,26/08/00,Southampton,Liverpool,3,3,D,0,1,A,Jeff Winter,14,9,7,4,2,0,7,1,7,6,4,4,0,0,0,0,0,0,4,3.4,1.7,3.3,3,1.85,3.4,3.25,1.9,3.6,3.2,1.95,3.5,3.2,1.9
E0,26/08/00,West Ham,Man United,2,2,D,0,1,A,Dermot Gallagher,17,8,8,5,0,2,7,5,12,9,5,1,1,0,0,0,10,0,4.2,3.5,1.65,3.5,3.2,1.75,4,3.2,1.8,4.2,3.4,1.73,4.33,3.4,1.66
E0,27/08/00,Aston Villa,Chelsea,1,1,D,1,1,D,Paul Durkin,12,11,9,7,0,0,7,10,13,12,2,0,0,1,0,0,0,10,2.7,3.3,2.2,2.35,3,2.35,3,3.2,2.1,2.8,3.25,2.2,3.2,3.2,2
E0,05/09/00,Leeds,Man City,1,2,A,0,2,A,Graham Poll,6,8,1,3,1,1,9,4,18,24,2,2,2,2,0,0,20,20,1.33,4.2,6.8,1.4,3.6,5.5,1.45,3.6,6.5,1.35,4,8,1.4,3.75,7
E0,05/09/00,Man United,Bradford,6,0,H,2,0,H,Ian Harris,21,6,12,4,1,1,5,1,12,10,4,9,0,1,0,0,0,10,1.2,5.5,9,1.2,4.7,9,1.25,4.5,10,1.25,5,9,1.2,5.5,9
E0,05/09/00,Sunderland,West Ham,1,1,D,1,1,D,Peter Jones,17,16,7,9,1,0,4,11,19,14,2,10,2,3,0,0,20,30,2,3.2,3.3,1.85,3,3.3,2.25,3.2,2.75,2.05,3.2,3.2,2.1,3.2,3
E0,05/09/00,Tottenham,Everton,3,2,H,1,2,A,Barry Knight,11,11,7,6,1,0,7,5,11,10,11,7,1,2,0,0,10,20,1.75,3.3,4,1.7,3.1,3.8,1.7,3.4,4,1.57,3.4,5.5,1.66,3.4,4.33
E0,06/09/00,Charlton,Southampton,1,1,D,0,0,D,Mark Halsey,8,11,6,3,0,0,10,14,14,16,4,3,3,3,1,0,55,30,2,3.1,3.2,2,2.9,3,2,3.2,3.2,1.83,3.4,3.75,1.8,3.3,3.75
E0,06/09/00,Chelsea,Arsenal,2,2,D,1,0,H,Mike Riley,12,13,5,5,1,1,7,6,16,22,2,2,3,1,0,0,30,10,2.3,3.1,2.8,2.2,2.9,2.7,2.2,3.25,2.75,2.3,3.1,2.8,2.2,3,3
E0,06/09/00,Coventry,Newcastle,0,2,A,0,1,A,Alan Wiley,13,13,3,6,1,0,6,8,11,18,10,3,1,1,0,0,10,10,2.4,3.1,2.6,2.35,3,2.35,2.5,3.25,2.4,2.5,3.2,2.5,2.5,3.25,2.4
E0,06/09/00,Derby,Middlesbrough,3,3,D,0,1,A,Rob Styles,9,5,5,4,0,0,11,5,8,10,3,5,3,2,0,0,30,20,2.4,3.1,2.6,2.3,2.9,2.5,2.4,3.25,2.5,2.4,3.2,2.6,2.4,3.25,2.5
E0,06/09/00,Leicester,Ipswich,2,1,H,0,0,D,Paul Taylor,12,7,6,3,0,0,6,2,12,13,3,0,1,1,0,0,10,10,1.7,3.4,4.15,1.7,3.1,3.8,1.55,3.5,5,1.7,3.25,4.5,1.66,3.4,4.33
E0,06/09/00,Liverpool,Aston Villa,3,1,H,3,0,H,Neale Barry,11,9,7,4,0,0,8,7,13,7,4,3,0,2,0,0,0,20,1.66,3.4,4.5,1.6,3.2,4.2,1.55,3.5,5,1.62,3.4,5,1.57,3.5,5
E0,09/09/00,Bradford,Arsenal,1,1,D,1,0,H,Alan Wiley,9,18,5,11,0,1,4,10,17,13,4,7,0,2,0,0,0,20,4.6,3.4,1.6,3.8,3.1,1.7,4,3.4,1.7,4.5,3.3,1.7,4.5,3.5,1.61
E0,09/09/00,Coventry,Leeds,0,0,D,0,0,D,Paul Durkin,9,11,1,5,0,0,6,6,15,14,3,10,2,2,0,0,20,20,3.05,3.2,2.1,2.7,2.9,2.2,3.5,3.2,1.9,3.1,3.1,2.15,3,3.2,2.1
E0,09/09/00,Ipswich,Aston Villa,1,2,A,0,1,A,Andy D'Urso,15,5,5,2,0,0,5,3,9,13,4,3,1,3,0,0,10,30,2.65,3.2,2.3,2.5,2.9,2.3,2.5,3.25,2.4,2.75,3.25,2.25,2.75,3.2,2.25
E0,09/09/00,Leicester,Southampton,1,0,H,0,0,D,Mike Dean,17,9,6,5,0,0,10,6,6,9,2,1,0,0,0,0,0,0,1.71,3.4,4.2,1.75,3.1,3.6,1.8,3.25,3.75,1.73,3.25,4.33,1.66,3.4,4.33
E0,09/09/00,Liverpool,Man City,3,2,H,1,0,H,Graham Barber,14,9,8,7,0,0,9,4,17,17,3,5,3,4,0,0,30,40,1.3,3.9,9.2,1.35,3.8,6.2,1.4,3.75,7,1.4,3.75,7.5,1.36,3.75,8
E0,09/09/00,Man United,Sunderland,3,0,H,1,0,H,Neale Barry,15,5,7,1,1,0,4,4,18,14,3,6,1,3,0,0,10,30,1.25,4.1,9,1.35,3.8,6.2,1.35,3.75,8,1.33,4,9,1.25,4.5,10
E0,09/09/00,Middlesbrough,Everton,1,2,A,1,0,H,Steve Bennett,9,12,5,9,0,0,7,7,16,5,6,7,3,0,0,0,30,0,2,3.3,3.2,1.9,2.9,3.2,1.9,3.2,3.5,1.7,3.4,4.2,1.83,3.3,3.6
E0,09/09/00,Newcastle,Chelsea,0,0,D,0,0,D,Graham Poll,10,10,4,3,0,0,5,6,17,21,4,6,0,3,0,0,0,30,2.35,3.25,2.6,2.35,3,2.35,2.5,3.25,2.4,2.6,3.2,2.4,2.4,3.25,2.5
E0,10/09/00,Derby,Charlton,2,2,D,2,0,H,Peter Jones,12,10,6,6,0,0,4,11,17,12,0,3,3,1,0,0,30,10,2,3.3,3.2,1.8,3,3.5,2.1,3.4,2.85,2.05,3.2,3.2,2,3.2,3.2
E0,11/09/00,Tottenham,West Ham,1,0,H,0,0,D,Steve Dunn,15,11,7,5,1,0,11,3,14,13,2,7,1,2,0,0,10,20,1.85,3.3,3.7,2,2.9,3,2,3.2,3.2,2.05,3.2,3.4,1.9,3.25,3.4
E0,16/09/00,Arsenal,Coventry,2,1,H,1,0,H,Mike Dean,18,6,13,2,0,1,8,4,5,13,3,0,1,2,0,0,10,20,1.25,4.8,9,1.35,3.8,6.2,1.25,4.5,10,1.33,4,9,1.25,4.33,10.5
E0,16/09/00,Aston Villa,Bradford,2,0,H,1,0,H,Rob Styles,12,8,7,4,0,0,5,6,8,12,10,10,0,2,0,0,0,20,1.53,3.8,5,1.4,3.6,5.5,1.5,3.4,6,1.5,3.5,6,1.57,3.5,5
E0,16/09/00,Charlton,Tottenham,1,0,H,1,0,H,Jeff Winter,9,10,5,5,1,1,7,5,8,10,3,2,0,0,0,0,0,0,2.6,3.3,2.3,2.7,2.9,2.2,2.75,3.2,2.25,2.63,3.2,2.38,2.62,3.25,2.3
E0,16/09/00,Everton,Man United,1,3,A,0,3,A,Dermot Gallagher,6,17,4,9,0,1,6,5,10,11,12,4,4,1,0,0,40,10,4.4,3.4,1.66,3.5,3,1.8,4.3,3.2,1.7,5,3.5,1.62,4.33,3.3,1.7
E0,16/09/00,Leeds,Ipswich,1,2,A,1,1,D,Mark Halsey,11,12,6,7,0,0,6,3,12,19,6,0,1,3,0,0,10,30,1.35,3.9,8,1.35,3.8,6.2,1.4,4,6.5,1.44,3.6,7,1.5,3.4,6
E0,16/09/00,Southampton,Newcastle,2,0,H,0,0,D,Barry Knight,13,10,9,7,0,0,4,8,14,14,4,4,0,0,0,0,0,0,2.75,3.35,2.2,2.9,2.9,2.1,2.75,3.2,2.25,2.75,3.25,2.25,2.75,3.25,2.2
E0,16/09/00,Sunderland,Derby,2,1,H,1,0,H,Paul Taylor,15,10,8,5,2,0,4,5,16,28,0,5,2,3,0,0,20,30,1.65,3.4,4.1,1.8,3,3.5,1.8,3.25,3.75,1.67,3.25,4.75,1.72,3.4,4
E0,17/09/00,Chelsea,Leicester,0,2,A,0,1,A,Graham Barber,16,7,10,5,1,0,15,3,16,17,1,4,3,1,0,0,30,10,1.45,3.65,6.2,1.5,3.4,4.7,1.5,3.4,6,1.5,3.5,6,1.53,3.4,5.5
E0,17/09/00,Man City,Middlesbrough,1,1,D,0,0,D,Steve Lodge,11,4,4,2,1,0,9,3,15,11,3,2,2,5,0,0,20,50,2.1,3.3,2.9,2.2,3,2.6,2.2,3.25,2.75,2.2,3.25,2.8,2.3,3.25,2.62
E0,17/09/00,West Ham,Liverpool,1,1,D,0,1,A,David Ellaray,15,7,4,2,0,0,9,0,5,13,6,3,0,2,0,0,0,20,3,3.3,2,2.7,2.9,2.2,2.75,3.2,2.25,2.75,3.25,2.25,2.62,3.25,2.3
E0,23/09/00,Bradford,Southampton,0,1,A,0,1,A,Steve Dunn,14,6,6,4,0,0,7,5,14,18,5,6,3,1,0,0,30,10,2.05,3.2,3.1,2.1,2.9,2.9,2.2,3.25,2.75,2.2,3.2,2.88,2.2,3.25,2.75
E0,23/09/00,Coventry,West Ham,0,3,A,0,2,A,Neale Barry,9,12,2,10,1,0,5,6,12,11,0,6,0,1,0,0,0,10,2.2,3.15,2.85,2.1,2.9,2.9,2.4,3.25,2.5,2.3,3.2,2.7,2.2,3.25,2.75
E0,23/09/00,Derby,Leeds,1,1,D,0,1,A,Barry Knight,13,16,7,6,1,1,7,4,17,15,3,3,2,2,1,0,45,20,2.75,3.05,2.25,2.35,3,2.35,2.75,3.25,2.2,2.75,3.25,2.25,3.2,3.2,2
E0,23/09/00,Ipswich,Arsenal,1,1,D,0,0,D,Paul Durkin,17,10,6,4,0,0,4,7,8,13,1,6,1,2,0,0,10,20,4.2,3.25,1.75,3.3,3,1.85,4.3,3.4,1.65,4,3.2,1.8,4.5,3.3,1.66
E0,23/09/00,Liverpool,Sunderland,1,1,D,1,1,D,Mike Riley,11,8,6,3,0,0,12,3,14,18,8,5,2,2,0,0,20,20,1.33,4.1,7.5,1.4,3.6,5.5,1.35,3.75,8,1.4,3.75,7,1.4,3.75,7
E0,23/09/00,Man United,Chelsea,3,3,D,3,2,H,Peter Jones,11,13,5,5,1,0,8,4,15,19,3,6,3,2,0,0,30,20,1.55,3.5,5.1,1.6,3.2,4.2,1.6,3.5,4.5,1.62,3.4,5,1.61,3.5,4.5
E0,23/09/00,Middlesbrough,Aston Villa,1,1,D,0,0,D,Mark Halsey,12,15,5,7,0,1,5,5,7,14,6,2,3,0,0,0,30,0,2.3,3.35,2.6,2.3,2.9,2.5,2.25,3.2,2.75,2.3,3.2,2.7,2.37,3.1,2.62
E0,23/09/00,Newcastle,Charlton,0,1,A,0,1,A,Andy D'Urso,12,4,5,2,0,1,4,7,14,10,3,11,1,2,0,0,10,20,1.45,3.7,6.3,1.45,3.5,5,1.5,3.4,6,1.44,3.6,7,1.44,3.6,6.5
E0,23/09/00,Tottenham,Man City,0,0,D,0,0,D,Steve Bennett,18,7,5,2,1,0,5,4,10,14,2,4,0,2,0,0,0,20,1.55,3.5,5.2,1.6,3.3,4,1.55,3.5,5,1.6,3.5,5,1.53,3.4,5.5
E0,24/09/00,Leicester,Everton,1,1,D,1,0,H,Alan Wiley,10,9,4,3,1,0,9,3,14,13,1,1,3,1,0,0,30,10,1.85,3.25,3.65,1.75,3.1,3.6,1.7,3.2,4.3,1.95,3.2,3.4,1.8,3.3,3.75
E0,30/09/00,Aston Villa,Derby,4,1,H,2,0,H,David Ellaray,12,11,7,6,0,1,6,6,0,1,4,3,1,1,0,0,10,10,1.5,3.45,5.3,1.5,3.4,4.7,1.55,3.5,5,1.5,3.4,6,1.53,3.4,5.5
E0,30/09/00,Charlton,Coventry,2,2,D,0,1,A,Rob Styles,12,10,8,6,1,0,6,6,8,16,5,0,1,2,0,0,10,20,1.8,3.3,3.7,1.8,3,3.5,1.85,3.25,3.6,1.83,3.25,3.75,1.8,3.3,3.75
E0,30/09/00,Everton,Ipswich,0,3,A,0,1,A,Jeff Winter,7,9,3,7,0,0,4,1,6,5,2,4,1,0,0,0,10,0,1.7,3.2,4.3,1.75,3.1,3.6,1.65,3.25,4.5,1.73,3.2,4.5,1.72,3.4,4
E0,30/09/00,Leeds,Tottenham,4,3,H,0,1,A,Neale Barry,14,10,7,5,1,0,6,4,11,20,4,1,0,2,0,0,0,20,1.66,3.4,4.2,1.8,3,3.5,1.7,3.2,4.3,1.73,3.25,4.33,1.72,3.4,4
E0,30/09/00,Man City,Newcastle,0,1,A,0,0,D,Paul Taylor,9,15,7,9,0,1,10,8,16,12,7,8,0,1,0,0,0,10,2.4,3.3,2.5,2.3,2.9,2.5,2.4,3.25,2.5,2.5,3.2,2.5,2.4,3.25,2.5
E0,30/09/00,Southampton,Middlesbrough,1,3,A,0,2,A,Graham Poll,16,7,8,5,2,0,6,6,6,22,5,1,2,2,0,0,20,20,2.15,3.2,2.85,2.1,3,2.8,2.1,3.2,3,2.1,3.25,3,2.2,3.25,2.75
E0,30/09/00,West Ham,Bradford,1,1,D,1,0,H,Mike Dean,14,9,6,6,0,0,7,2,14,10,8,0,3,2,0,0,30,20,1.5,3.55,6.1,1.55,3.3,4.5,1.55,3.5,5,1.4,3.75,6.5,1.44,3.6,6.5
E0,01/10/00,Arsenal,Man United,1,0,H,1,0,H,Graham Barber,7,13,5,4,0,0,3,11,18,17,8,1,2,3,0,0,20,30,2.55,3.2,2.45,2.3,2.9,2.5,2.5,3.25,2.4,2.5,3.2,2.5,2.5,2.9,2.62
E0,01/10/00,Chelsea,Liverpool,3,0,H,2,0,H,Dermot Gallagher,11,10,5,2,0,0,3,1,14,14,4,2,1,1,0,0,10,10,2,3.3,3.15,2.1,2.9,2.9,2.1,3.2,3,2.1,3.1,3.2,2.2,3,3
E0,01/10/00,Sunderland,Leicester,0,0,D,0,0,D,Steve Lodge,11,8,5,2,0,0,6,2,12,8,4,9,3,1,0,0,30,10,2.05,3.2,3.15,1.9,3,3.1,2.1,3.2,3,2,3.2,3.3,1.9,3.2,3.5
E0,14/10/00,Arsenal,Aston Villa,1,0,H,0,0,D,Rob Harris,16,8,10,3,0,0,7,4,12,20,3,3,1,4,0,1,10,65,1.47,3.5,6,1.6,3.2,4.2,1.4,3.75,7,1.53,3.4,6,1.53,3.4,5.5
E0,14/10/00,Coventry,Tottenham,2,1,H,2,0,H,Peter Jones,0,4,5,5,0,1,3,5,12,16,3,6,0,4,1,0,25,40,2.6,3.1,2.4,2.3,2.9,2.5,2.5,3.25,2.4,2.6,3.2,2.4,2.62,3.1,2.37
E0,14/10/00,Everton,Southampton,1,1,D,0,0,D,David Ellaray,7,7,3,4,0,0,9,8,16,13,1,1,1,3,0,0,10,30,1.85,3.25,3.7,1.8,3,3.5,1.9,3.25,3.4,1.91,3.25,3.5,1.8,3.3,3.75
E0,14/10/00,Ipswich,West Ham,1,1,D,1,0,H,Neale Barry,11,7,8,2,1,0,8,5,10,11,1,5,0,4,0,0,0,40,2.2,3.2,2.9,2.2,2.9,2.7,2.4,3.25,2.5,2.3,3.2,2.7,2.37,3.1,2.62
E0,14/10/00,Leeds,Charlton,3,1,H,1,0,H,Mike Dean,22,10,10,8,0,0,8,5,7,9,2,1,0,1,0,0,0,10,1.5,3.25,6.3,1.55,3.3,4.5,1.5,3.4,6,1.5,3.5,6,1.5,3.6,5.5
E0,14/10/00,Leicester,Man United,0,3,A,0,1,A,Paul Durkin,10,16,4,5,0,1,6,7,8,11,3,2,0,0,0,0,0,0,3.7,3.3,1.85,3.1,3,1.9,3.75,3.2,1.85,3.75,3.25,1.85,3.75,3.3,1.8
E0,14/10/00,Man City,Bradford,2,0,H,2,0,H,Barry Knight,13,10,10,2,1,0,5,6,10,16,7,8,0,2,0,0,0,20,1.7,3.35,4.2,1.7,3.1,3.8,1.7,3.5,3.75,1.75,3.4,4,1.8,3.3,3.75
E0,14/10/00,Sunderland,Chelsea,1,0,H,0,0,D,Jeff Winter,16,11,11,2,1,0,5,0,12,18,3,1,0,1,1,1,25,35,3.05,3.05,2.15,2.35,3,2.35,2.75,3.2,2.25,2.88,3,2.3,3,3.2,2.1
E0,15/10/00,Derby,Liverpool,0,4,A,0,1,A,Steve Bennett,6,16,0,11,0,0,4,3,18,13,5,9,1,1,0,0,10,10,3.3,3.2,1.95,3.2,2.9,1.9,3.4,3.25,1.9,3.75,3.25,1.83,3.75,3.2,1.83
E0,16/10/00,Middlesbrough,Newcastle,1,3,A,0,1,A,Steve Dunn,8,15,2,8,0,0,6,6,8,13,4,4,2,1,0,0,20,10,2.45,3.1,2.55,2.4,2.9,2.4,2.35,3.2,2.6,2.38,3.2,2.63,2.5,3.1,2.5
E0,21/10/00,Bradford,Ipswich,0,2,A,0,1,A,Paul Taylor,7,12,3,3,0,1,9,1,15,14,6,3,1,0,0,0,10,0,2.3,3.15,2.75,2.2,2.9,2.7,2.35,3.2,2.6,2.38,3,2.75,2.25,3.2,2.75
E0,21/10/00,Charlton,Middlesbrough,1,0,H,0,0,D,Mike Riley,5,8,2,6,0,0,5,6,11,19,4,2,2,2,0,0,20,20,2.2,3.25,2.8,2.2,2.9,2.7,2.2,3.25,2.75,2.2,3.2,2.88,2.1,3.2,3
E0,21/10/00,Chelsea,Coventry,6,1,H,2,0,H,Steve Lodge,33,3,19,3,1,0,10,0,6,8,3,5,0,1,0,1,0,35,1.4,3.8,6.5,1.5,3.4,4.7,1.4,3.75,7,1.4,3.75,7.5,1.4,3.6,7.5
E0,21/10/00,Liverpool,Leicester,1,0,H,0,0,D,Andy D'Urso,24,8,11,3,0,0,10,9,8,10,1,3,1,2,0,0,10,20,1.5,3.5,5.5,1.5,3.4,4.7,1.5,3.4,6,1.53,3.5,5.5,1.5,3.4,6
E0,21/10/00,Man United,Leeds,3,0,H,1,0,H,Jeff Winter,26,5,14,0,0,0,12,4,9,18,1,9,0,2,0,0,0,20,1.5,3.55,6,1.5,3.4,4.7,1.55,3.5,5,1.4,3.6,6,1.44,3.6,6.5
E0,21/10/00,Newcastle,Everton,0,1,A,0,0,D,Mark Halsey,11,9,4,4,0,0,5,4,9,12,3,3,1,3,0,0,10,30,1.6,3.4,5,1.55,3.3,4.5,1.5,3.4,6,1.53,3.4,6,1.53,3.4,5.5
E0,21/10/00,Tottenham,Derby,3,1,H,2,1,H,Mike Dean,18,8,8,7,0,0,7,4,9,16,7,6,1,2,0,0,10,20,1.55,3.4,5.65,1.5,3.4,4.7,1.45,3.75,6,1.5,3.5,6,1.44,3.6,6.5
E0,21/10/00,West Ham,Arsenal,1,2,A,0,2,A,Dermot Gallagher,11,13,3,5,0,0,5,4,15,11,5,6,1,0,0,0,10,0,3.35,3.2,1.95,2.9,2.9,2.1,3.4,3.25,1.9,3.3,3.2,2,3,3.2,2.1
E0,22/10/00,Aston Villa,Sunderland,0,0,D,0,0,D,Rob Styles,17,7,4,3,0,1,7,3,11,17,4,4,1,3,0,0,10,30,1.75,3.35,4,1.6,3.2,4.2,1.8,3.2,4,1.8,3.25,4,1.72,3.4,4
E0,23/10/00,Southampton,Man City,0,2,A,0,1,A,Alan Wiley,19,11,6,4,0,0,9,3,10,15,2,0,1,2,0,0,10,20,1.95,3.2,3.4,2,2.9,3,2,3.2,3.2,2,3.25,3.25,1.9,3.25,3.4
E0,28/10/00,Arsenal,Man City,5,0,H,1,0,H,Rob Styles,22,6,14,2,1,0,10,4,6,13,7,4,0,3,0,1,0,55,1.31,4.25,8,1.3,4,7,1.25,4.5,10,1.3,4.33,8.5,1.28,4.5,8
E0,28/10/00,Aston Villa,Charlton,2,1,H,2,0,H,Dermot Gallagher,12,7,7,4,1,0,9,6,13,11,3,4,3,2,0,0,30,20,1.7,4.3,3.2,1.6,3.2,4.2,1.6,3.25,5,1.62,3.4,5,1.61,3.25,5
E0,28/10/00,Chelsea,Tottenham,3,0,H,2,0,H,Steve Dunn,9,6,7,3,1,0,2,3,12,14,5,2,3,3,0,0,30,30,1.66,3.2,4.7,1.7,3.1,3.8,1.55,3.5,5,1.5,3.4,5.5,1.61,3.25,5
E0,28/10/00,Ipswich,Middlesbrough,2,1,H,2,0,H,Neale Barry,19,7,11,3,1,0,6,1,8,17,1,4,0,2,0,0,0,20,2.2,3.2,2.85,2.1,2.9,2.9,1.85,3.2,3.75,2,3.2,3.2,2.1,3.2,3
